canton,energyreporter_date,solar_power_installed_kwp
AG,2021-03-31,172213
AG,2021-04-30,172213
AG,2021-05-31,190597
AG,2021-06-30,197624
AG,2021-07-31,201939
AG,2021-08-31,201939
AG,2021-09-30,205712
AG,2021-10-31,209948
AG,2021-11-30,214563
AG,2021-12-31,219900
AG,2022-01-31,219885
AG,2022-02-28,223923
AG,2022-03-31,231656
AG,2022-04-30,235392
AG,2022-05-31,245682
AG,2022-06-30,249120
AG,2022-07-31,245411
AG,2022-08-31,252916
AG,2022-09-30,258659
AG,2022-10-31,258659
AG,2022-11-30,266167
AG,2022-12-31,278199
AG,2023-01-31,278199
AG,2023-02-28,286619
AG,2023-03-31,293250
AG,2023-04-30,301141
AG,2023-05-31,305689
AG,2023-06-30,317096
AG,2023-07-31,329107
AG,2023-08-31,341006
AG,2023-09-30,341006
AG,2023-10-31,347438
AG,2023-11-30,355662
AG,2023-12-31,375957
AG,2024-01-31,391638
AG,2024-02-29,391638
AG,2024-03-31,391638
AG,2024-04-30,432726
AG,2024-05-31,443051
AG,2024-06-30,443051
AG,2024-07-31,471848
AG,2024-08-31,471848
AG,2024-09-30,497685
AI,2021-03-31,10143
AI,2021-04-30,10143
AI,2021-05-31,10751
AI,2021-06-30,10971
AI,2021-07-31,11274
AI,2021-08-31,11274
AI,2021-09-30,11278
AI,2021-10-31,11489
AI,2021-11-30,11761
AI,2021-12-31,11828
AI,2022-01-31,11833
AI,2022-02-28,11885
AI,2022-03-31,12035
AI,2022-04-30,12182
AI,2022-05-31,12645
AI,2022-06-30,13913
AI,2022-07-31,13908
AI,2022-08-31,14038
AI,2022-09-30,14476
AI,2022-10-31,14476
AI,2022-11-30,14649
AI,2022-12-31,15429
AI,2023-01-31,15429
AI,2023-02-28,15627
AI,2023-03-31,15936
AI,2023-04-30,16279
AI,2023-05-31,16390
AI,2023-06-30,16574
AI,2023-07-31,16912
AI,2023-08-31,17394
AI,2023-09-30,17394
AI,2023-10-31,17463
AI,2023-11-30,17620
AI,2023-12-31,18400
AI,2024-01-31,19217
AI,2024-02-29,19217
AI,2024-03-31,19217
AI,2024-04-30,20568
AI,2024-05-31,21411
AI,2024-06-30,21411
AI,2024-07-31,22482
AI,2024-08-31,22482
AI,2024-09-30,23625
AR,2021-03-31,17611
AR,2021-04-30,17611
AR,2021-05-31,19407
AR,2021-06-30,19934
AR,2021-07-31,20007
AR,2021-08-31,20007
AR,2021-09-30,20070
AR,2021-10-31,20648
AR,2021-11-30,20704
AR,2021-12-31,21426
AR,2022-01-31,21432
AR,2022-02-28,21551
AR,2022-03-31,22000
AR,2022-04-30,22336
AR,2022-05-31,22771
AR,2022-06-30,23133
AR,2022-07-31,23112
AR,2022-08-31,23472
AR,2022-09-30,24230
AR,2022-10-31,24255
AR,2022-11-30,25488
AR,2022-12-31,26813
AR,2023-01-31,26813
AR,2023-02-28,27504
AR,2023-03-31,28259
AR,2023-04-30,29621
AR,2023-05-31,30175
AR,2023-06-30,31532
AR,2023-07-31,32425
AR,2023-08-31,34236
AR,2023-09-30,34236
AR,2023-10-31,34680
AR,2023-11-30,35578
AR,2023-12-31,38423
AR,2024-01-31,39512
AR,2024-02-29,39512
AR,2024-03-31,39512
AR,2024-04-30,44459
AR,2024-05-31,48037
AR,2024-06-30,48037
AR,2024-07-31,50388
AR,2024-08-31,50388
AR,2024-09-30,53967
BE,2021-03-31,312675
BE,2021-04-30,312675
BE,2021-05-31,344688
BE,2021-06-30,353820
BE,2021-07-31,358979
BE,2021-08-31,358979
BE,2021-09-30,363244
BE,2021-10-31,368353
BE,2021-11-30,372287
BE,2021-12-31,378635
BE,2022-01-31,378998
BE,2022-02-28,381298
BE,2022-03-31,388816
BE,2022-04-30,393419
BE,2022-05-31,402562
BE,2022-06-30,406951
BE,2022-07-31,405154
BE,2022-08-31,411589
BE,2022-09-30,420176
BE,2022-10-31,420176
BE,2022-11-30,429209
BE,2022-12-31,443595
BE,2023-01-31,443595
BE,2023-02-28,455944
BE,2023-03-31,464607
BE,2023-04-30,476664
BE,2023-05-31,484824
BE,2023-06-30,498182
BE,2023-07-31,504756
BE,2023-08-31,517553
BE,2023-09-30,517553
BE,2023-10-31,529829
BE,2023-11-30,539894
BE,2023-12-31,572386
BE,2024-01-31,592913
BE,2024-02-29,592912
BE,2024-03-31,592912
BE,2024-04-30,640561
BE,2024-05-31,653722
BE,2024-06-30,653722
BE,2024-07-31,689894
BE,2024-08-31,689894
BE,2024-09-30,724533
BL,2021-03-31,74662
BL,2021-04-30,74659
BL,2021-05-31,82874
BL,2021-06-30,84889
BL,2021-07-31,85811
BL,2021-08-31,85811
BL,2021-09-30,87261
BL,2021-10-31,89705
BL,2021-11-30,90657
BL,2021-12-31,92272
BL,2022-01-31,92392
BL,2022-02-28,93064
BL,2022-03-31,95271
BL,2022-04-30,96095
BL,2022-05-31,97501
BL,2022-06-30,98242
BL,2022-07-31,98025
BL,2022-08-31,99314
BL,2022-09-30,101712
BL,2022-10-31,101712
BL,2022-11-30,103161
BL,2022-12-31,106021
BL,2023-01-31,106021
BL,2023-02-28,108872
BL,2023-03-31,110482
BL,2023-04-30,113335
BL,2023-05-31,115054
BL,2023-06-30,118305
BL,2023-07-31,120010
BL,2023-08-31,122354
BL,2023-09-30,122354
BL,2023-10-31,124555
BL,2023-11-30,126543
BL,2023-12-31,133348
BL,2024-01-31,138276
BL,2024-02-29,138276
BL,2024-03-31,138276
BL,2024-04-30,150222
BL,2024-05-31,157069
BL,2024-06-30,157069
BL,2024-07-31,166790
BL,2024-08-31,166790
BL,2024-09-30,177857
BS,2021-03-31,19705
BS,2021-04-30,19707
BS,2021-05-31,26510
BS,2021-06-30,28206
BS,2021-07-31,28771
BS,2021-08-31,28771
BS,2021-09-30,29067
BS,2021-10-31,29166
BS,2021-11-30,29310
BS,2021-12-31,29899
BS,2022-01-31,29853
BS,2022-02-28,30189
BS,2022-03-31,30608
BS,2022-04-30,30948
BS,2022-05-31,32315
BS,2022-06-30,32726
BS,2022-07-31,32726
BS,2022-08-31,33145
BS,2022-09-30,33675
BS,2022-10-31,33675
BS,2022-11-30,33831
BS,2022-12-31,34619
BS,2023-01-31,34619
BS,2023-02-28,35459
BS,2023-03-31,35883
BS,2023-04-30,36089
BS,2023-05-31,36219
BS,2023-06-30,36799
BS,2023-07-31,37016
BS,2023-08-31,37290
BS,2023-09-30,37290
BS,2023-10-31,37605
BS,2023-11-30,38057
BS,2023-12-31,39295
BS,2024-01-31,39794
BS,2024-02-29,39794
BS,2024-03-31,39794
BS,2024-04-30,41406
BS,2024-05-31,42120
BS,2024-06-30,42120
BS,2024-07-31,43587
BS,2024-08-31,43587
BS,2024-09-30,44574
FR,2021-03-31,148858
FR,2021-04-30,148858
FR,2021-05-31,162126
FR,2021-06-30,165454
FR,2021-07-31,167456
FR,2021-08-31,167456
FR,2021-09-30,170075
FR,2021-10-31,172620
FR,2021-11-30,174400
FR,2021-12-31,177965
FR,2022-01-31,178013
FR,2022-02-28,178758
FR,2022-03-31,181874
FR,2022-04-30,184363
FR,2022-05-31,188956
FR,2022-06-30,190799
FR,2022-07-31,189681
FR,2022-08-31,193477
FR,2022-09-30,193628
FR,2022-10-31,193628
FR,2022-11-30,202505
FR,2022-12-31,207501
FR,2023-01-31,207501
FR,2023-02-28,209401
FR,2023-03-31,212881
FR,2023-04-30,221951
FR,2023-05-31,224563
FR,2023-06-30,230124
FR,2023-07-31,234079
FR,2023-08-31,238954
FR,2023-09-30,238954
FR,2023-10-31,240211
FR,2023-11-30,244929
FR,2023-12-31,261103
FR,2024-01-31,269107
FR,2024-02-29,269107
FR,2024-03-31,269106
FR,2024-04-30,289281
FR,2024-05-31,300405
FR,2024-06-30,300405
FR,2024-07-31,317532
FR,2024-08-31,317532
FR,2024-09-30,333862
GE,2021-03-31,49222
GE,2021-04-30,49223
GE,2021-05-31,64760
GE,2021-06-30,67203
GE,2021-07-31,67877
GE,2021-08-31,67877
GE,2021-09-30,69642
GE,2021-10-31,71462
GE,2021-11-30,71837
GE,2021-12-31,72750
GE,2022-01-31,72497
GE,2022-02-28,72813
GE,2022-03-31,75547
GE,2022-04-30,76401
GE,2022-05-31,79415
GE,2022-06-30,80782
GE,2022-07-31,80193
GE,2022-08-31,80824
GE,2022-09-30,82554
GE,2022-10-31,82554
GE,2022-11-30,85362
GE,2022-12-31,87379
GE,2023-01-31,87379
GE,2023-02-28,88841
GE,2023-03-31,89849
GE,2023-04-30,91600
GE,2023-05-31,92385
GE,2023-06-30,94333
GE,2023-07-31,95199
GE,2023-08-31,97009
GE,2023-09-30,97009
GE,2023-10-31,97537
GE,2023-11-30,100116
GE,2023-12-31,105037
GE,2024-01-31,106811
GE,2024-02-29,106811
GE,2024-03-31,106811
GE,2024-04-30,113271
GE,2024-05-31,115695
GE,2024-06-30,115695
GE,2024-07-31,121728
GE,2024-08-31,121728
GE,2024-09-30,127984
GL,2021-03-31,7100
GL,2021-04-30,7100
GL,2021-05-31,8769
GL,2021-06-30,8918
GL,2021-07-31,8942
GL,2021-08-31,8942
GL,2021-09-30,9260
GL,2021-10-31,9788
GL,2021-11-30,9941
GL,2021-12-31,10318
GL,2022-01-31,10318
GL,2022-02-28,10351
GL,2022-03-31,11574
GL,2022-04-30,11909
GL,2022-05-31,12113
GL,2022-06-30,12190
GL,2022-07-31,12175
GL,2022-08-31,12595
GL,2022-09-30,13016
GL,2022-10-31,13016
GL,2022-11-30,13520
GL,2022-12-31,15185
GL,2023-01-31,15185
GL,2023-02-28,15798
GL,2023-03-31,16240
GL,2023-04-30,16522
GL,2023-05-31,16776
GL,2023-06-30,17157
GL,2023-07-31,17369
GL,2023-08-31,17780
GL,2023-09-30,17780
GL,2023-10-31,19098
GL,2023-11-30,19473
GL,2023-12-31,20723
GL,2024-01-31,22646
GL,2024-02-29,22646
GL,2024-03-31,22646
GL,2024-04-30,24292
GL,2024-05-31,25378
GL,2024-06-30,25378
GL,2024-07-31,27733
GL,2024-08-31,27733
GL,2024-09-30,29873
GR,2021-03-31,65621
GR,2021-04-30,65621
GR,2021-05-31,76824
GR,2021-06-30,78941
GR,2021-07-31,79972
GR,2021-08-31,79972
GR,2021-09-30,81547
GR,2021-10-31,83204
GR,2021-11-30,85484
GR,2021-12-31,87080
GR,2022-01-31,87070
GR,2022-02-28,87519
GR,2022-03-31,88901
GR,2022-04-30,89974
GR,2022-05-31,92228
GR,2022-06-30,92894
GR,2022-07-31,92725
GR,2022-08-31,93686
GR,2022-09-30,94792
GR,2022-10-31,94793
GR,2022-11-30,97209
GR,2022-12-31,99474
GR,2023-01-31,99474
GR,2023-02-28,101094
GR,2023-03-31,102893
GR,2023-04-30,105275
GR,2023-05-31,108023
GR,2023-06-30,110820
GR,2023-07-31,112324
GR,2023-08-31,113893
GR,2023-09-30,113893
GR,2023-10-31,114349
GR,2023-11-30,118747
GR,2023-12-31,124493
GR,2024-01-31,127821
GR,2024-02-29,127821
GR,2024-03-31,127821
GR,2024-04-30,135576
GR,2024-05-31,139307
GR,2024-06-30,139307
GR,2024-07-31,147614
GR,2024-08-31,147614
GR,2024-09-30,154641
JU,2021-03-31,42651
JU,2021-04-30,42651
JU,2021-05-31,48392
JU,2021-06-30,50186
JU,2021-07-31,49580
JU,2021-08-31,49580
JU,2021-09-30,50004
JU,2021-10-31,51938
JU,2021-11-30,52250
JU,2021-12-31,53388
JU,2022-01-31,53388
JU,2022-02-28,54998
JU,2022-03-31,55934
JU,2022-04-30,56261
JU,2022-05-31,58594
JU,2022-06-30,58939
JU,2022-07-31,55396
JU,2022-08-31,55944
JU,2022-09-30,56672
JU,2022-10-31,56672
JU,2022-11-30,57879
JU,2022-12-31,61760
JU,2023-01-31,61588
JU,2023-02-28,62824
JU,2023-03-31,63698
JU,2023-04-30,65314
JU,2023-05-31,66362
JU,2023-06-30,67383
JU,2023-07-31,69324
JU,2023-08-31,72238
JU,2023-09-30,72238
JU,2023-10-31,72674
JU,2023-11-30,73737
JU,2023-12-31,77493
JU,2024-01-31,78789
JU,2024-02-29,78789
JU,2024-03-31,78789
JU,2024-04-30,84188
JU,2024-05-31,85497
JU,2024-06-30,85497
JU,2024-07-31,91721
JU,2024-08-31,91721
JU,2024-09-30,96520
LU,2021-03-31,186286
LU,2021-04-30,186284
LU,2021-05-31,206956
LU,2021-06-30,211209
LU,2021-07-31,216017
LU,2021-08-31,216017
LU,2021-09-30,218142
LU,2021-10-31,222022
LU,2021-11-30,226262
LU,2021-12-31,230084
LU,2022-01-31,230283
LU,2022-02-28,232394
LU,2022-03-31,236570
LU,2022-04-30,241394
LU,2022-05-31,245764
LU,2022-06-30,248043
LU,2022-07-31,246191
LU,2022-08-31,249376
LU,2022-09-30,253222
LU,2022-10-31,253223
LU,2022-11-30,257099
LU,2022-12-31,263697
LU,2023-01-31,263697
LU,2023-02-28,268177
LU,2023-03-31,272862
LU,2023-04-30,279167
LU,2023-05-31,283106
LU,2023-06-30,295066
LU,2023-07-31,301544
LU,2023-08-31,310973
LU,2023-09-30,310973
LU,2023-10-31,318231
LU,2023-11-30,327538
LU,2023-12-31,346452
LU,2024-01-31,362519
LU,2024-02-29,362519
LU,2024-03-31,362519
LU,2024-04-30,394769
LU,2024-05-31,404405
LU,2024-06-30,404405
LU,2024-07-31,428361
LU,2024-08-31,428361
LU,2024-09-30,447331
NE,2021-03-31,51424
NE,2021-04-30,51424
NE,2021-05-31,56281
NE,2021-06-30,58046
NE,2021-07-31,59269
NE,2021-08-31,59269
NE,2021-09-30,59563
NE,2021-10-31,60546
NE,2021-11-30,60783
NE,2021-12-31,62782
NE,2022-01-31,63239
NE,2022-02-28,63958
NE,2022-03-31,65541
NE,2022-04-30,67482
NE,2022-05-31,68806
NE,2022-06-30,69178
NE,2022-07-31,68075
NE,2022-08-31,69391
NE,2022-09-30,71875
NE,2022-10-31,71875
NE,2022-11-30,73169
NE,2022-12-31,74890
NE,2023-01-31,74890
NE,2023-02-28,77145
NE,2023-03-31,78457
NE,2023-04-30,80354
NE,2023-05-31,81618
NE,2023-06-30,83128
NE,2023-07-31,85146
NE,2023-08-31,87257
NE,2023-09-30,87257
NE,2023-10-31,87567
NE,2023-11-30,89194
NE,2023-12-31,99921
NE,2024-01-31,101102
NE,2024-02-29,101102
NE,2024-03-31,101102
NE,2024-04-30,106910
NE,2024-05-31,109208
NE,2024-06-30,109208
NE,2024-07-31,117113
NE,2024-08-31,117113
